,Image Name,C1,C2,C3,C4
0,1.JPEG,0,0,0,0
1,10.JPEG,169,117,206,165
2,11.JPEG,182,128,223,178
3,12.JPEG,171,125,213,179
4,13.JPEG,168,120,208,174
5,14.JPEG,0,0,0,0
6,15.JPEG,165,89,208,146
7,16.JPEG,0,0,0,0
8,17.JPEG,166,93,208,152
9,18.JPEG,0,0,0,0
10,19.JPEG,0,0,0,0
11,2.JPEG,0,0,0,0
12,20.JPEG,0,0,0,0
13,21.JPEG,0,0,0,0
14,22.JPEG,0,0,0,0
15,23.JPEG,161,95,202,150
16,24.JPEG,160,90,202,146
17,25.JPEG,141,75,205,162
18,26.JPEG,146,95,187,148
19,27.JPEG,148,96,186,147
20,28.JPEG,0,0,0,0
21,29.JPEG,0,0,0,0
22,3.JPEG,168,121,208,171
23,30.JPEG,0,0,0,0
24,31.JPEG,146,109,186,158
25,32.JPEG,143,94,186,151
26,33.JPEG,0,0,0,0
27,34.JPEG,0,0,0,0
28,35.JPEG,0,0,0,0
29,36.JPEG,170,127,212,176
30,37.JPEG,0,0,0,0
31,38.JPEG,0,0,0,0
32,39.JPEG,0,0,0,0
33,4.JPEG,180,114,223,166
34,40.JPEG,171,124,212,176
35,41.JPEG,168,126,207,172
36,42.JPEG,171,139,212,183
37,43.JPEG,173,131,213,179
38,44.JPEG,170,128,211,177
39,45.JPEG,0,0,0,0
40,46.JPEG,0,0,0,0
41,47.JPEG,0,0,0,0
42,48.jpg,0,0,0,0
43,49.jpg,133,119,191,189
44,5.JPEG,166,124,220,190
45,50.jpg,0,0,0,0
46,51.jpg,0,0,0,0
47,6.JPEG,183,117,225,167
48,7.JPEG,180,120,220,171
49,8.JPEG,180,119,220,171
50,9.JPEG,0,0,0,0
51,1.JPEG,0,0,0,0
52,10.JPEG,169,117,206,165
53,11.JPEG,182,128,223,178
54,12.JPEG,171,125,213,179
55,13.JPEG,168,120,208,174
56,14.JPEG,0,0,0,0
57,15.JPEG,165,89,208,146
58,16.JPEG,0,0,0,0
59,17.JPEG,166,93,208,152
60,18.JPEG,0,0,0,0
61,19.JPEG,0,0,0,0
62,2.JPEG,0,0,0,0
63,20.JPEG,0,0,0,0
64,21.JPEG,0,0,0,0
65,22.JPEG,0,0,0,0
66,23.JPEG,161,95,202,150
67,24.JPEG,160,90,202,146
68,25.JPEG,141,75,205,162
69,26.JPEG,146,95,187,148
70,27.JPEG,148,96,186,147
71,28.JPEG,0,0,0,0
72,29.JPEG,0,0,0,0
73,3.JPEG,168,121,208,171
74,30.JPEG,0,0,0,0
75,31.JPEG,146,109,186,158
76,32.JPEG,143,94,186,151
77,33.JPEG,0,0,0,0
78,34.JPEG,0,0,0,0
79,35.JPEG,0,0,0,0
80,36.JPEG,170,127,212,176
81,37.JPEG,0,0,0,0
82,38.JPEG,0,0,0,0
83,39.JPEG,0,0,0,0
84,4.JPEG,180,114,223,166
85,40.JPEG,171,124,212,176
86,41.JPEG,168,126,207,172
87,42.JPEG,171,139,212,183
88,43.JPEG,173,131,213,179
89,44.JPEG,170,128,211,177
90,45.JPEG,0,0,0,0
91,46.JPEG,0,0,0,0
92,47.JPEG,0,0,0,0
93,48.jpg,0,0,0,0
94,49.jpg,133,119,191,189
95,5.JPEG,166,124,220,190
96,50.jpg,0,0,0,0
97,51.jpg,0,0,0,0
98,6.JPEG,183,117,225,167
99,7.JPEG,180,120,220,171
100,8.JPEG,180,119,220,171
101,9.JPEG,0,0,0,0
